experiment_workers,worker_id,pages_crawled,links_extracted,links_added,links_duplicate,errors,timeouts
1,eval-1-1,203,1312,466,846,20,0
2,eval-2-1,105,643,228,415,12,0
2,eval-2-2,104,693,250,443,8,0
3,eval-3-1,65,390,134,256,5,0
3,eval-3-2,71,434,175,259,6,0
3,eval-3-3,75,520,173,347,9,0
4,eval-4-1,50,326,133,193,5,0
4,eval-4-2,53,314,105,209,2,0
4,eval-4-3,59,386,134,252,6,0
4,eval-4-4,59,364,133,231,7,0
5,eval-5-1,44,252,111,141,6,0
5,eval-5-2,40,220,85,135,2,0
5,eval-5-3,45,307,101,206,2,0
5,eval-5-4,46,305,110,195,5,0
5,eval-5-5,47,312,101,211,5,0
6,eval-6-1,38,272,86,186,4,0
6,eval-6-2,33,185,93,92,5,0
6,eval-6-3,38,249,78,171,7,0
6,eval-6-4,36,216,82,134,2,0
6,eval-6-5,38,258,88,170,2,0
6,eval-6-6,35,196,70,126,0,0
7,eval-7-1,34,232,81,151,0,0
7,eval-7-2,30,176,91,85,2,0
7,eval-7-3,32,231,73,158,1,0
7,eval-7-4,36,219,76,143,6,0
7,eval-7-5,31,202,64,138,6,0
7,eval-7-6,28,162,59,103,5,0
7,eval-7-7,32,184,68,116,0,0
8,eval-8-1,27,166,80,86,2,0
8,eval-8-2,34,263,79,184,4,0
8,eval-8-3,30,217,65,152,0,0
8,eval-8-4,24,167,60,107,2,0
8,eval-8-5,28,185,64,121,2,0
8,eval-8-6,31,176,70,106,1,0
8,eval-8-7,29,147,60,87,4,0
8,eval-8-8,25,113,48,65,5,0
9,eval-9-1,29,191,89,102,1,0
9,eval-9-2,25,151,59,92,1,0
9,eval-9-3,31,228,66,162,0,0
9,eval-9-4,25,199,64,135,2,0
9,eval-9-5,23,170,52,118,4,0
9,eval-9-6,25,158,54,104,2,0
9,eval-9-7,31,158,65,93,2,0
9,eval-9-8,27,142,62,80,4,0
9,eval-9-9,26,111,53,58,4,0
10,eval-10-1,24,213,62,151,2,0
10,eval-10-2,27,208,65,143,1,0
10,eval-10-3,25,159,76,83,2,0
10,eval-10-4,28,187,65,122,2,0
10,eval-10-5,20,132,44,88,2,0
10,eval-10-6,25,150,54,96,1,0
10,eval-10-7,25,135,49,86,1,0
10,eval-10-8,21,115,43,72,3,0
10,eval-10-9,19,82,39,43,1,0
10,eval-10-10,21,89,48,41,5,0
11,eval-11-1,24,167,80,87,1,0
11,eval-11-2,28,235,70,165,1,0
11,eval-11-3,20,200,62,138,0,0
11,eval-11-4,25,204,65,139,4,0
11,eval-11-5,25,156,51,105,3,0
11,eval-11-6,20,88,36,52,3,0
11,eval-11-7,19,84,31,53,5,0
11,eval-11-8,20,115,41,74,1,0
11,eval-11-9,22,92,51,41,1,0
11,eval-11-10,22,100,46,54,1,0
11,eval-11-11,22,89,42,47,0,0
12,eval-12-1,23,164,76,88,3,0
12,eval-12-2,24,221,59,162,0,0
12,eval-12-3,24,212,59,153,1,0
12,eval-12-4,26,203,62,141,4,0
12,eval-12-5,19,132,45,87,4,0
12,eval-12-6,22,119,45,74,0,0
12,eval-12-7,21,89,43,46,4,0
12,eval-12-8,20,93,41,52,0,0
12,eval-12-9,15,64,33,31,2,0
12,eval-12-10,15,63,36,27,2,0
12,eval-12-11,19,81,40,41,0,0
12,eval-12-12,16,75,33,42,0,0
13,eval-13-1,22,117,75,42,1,0
13,eval-13-2,18,188,55,133,0,0
13,eval-13-3,20,92,30,62,0,0
13,eval-13-4,23,216,60,156,2,0
13,eval-13-5,22,186,56,130,0,0
13,eval-13-6,19,128,47,81,2,0
13,eval-13-7,17,100,37,63,4,0
13,eval-13-8,19,107,45,62,2,0
13,eval-13-9,24,129,48,81,2,0
13,eval-13-10,21,94,47,47,1,0
13,eval-13-11,19,87,36,51,2,0
13,eval-13-12,17,70,39,31,0,0
13,eval-13-13,19,83,36,47,4,0
14,eval-14-1,20,208,53,155,2,0
14,eval-14-2,17,120,60,60,0,0
14,eval-14-3,20,199,58,141,2,0
14,eval-14-4,18,146,46,100,3,0
14,eval-14-5,19,131,46,85,1,0
14,eval-14-6,21,136,46,90,0,0
14,eval-14-7,20,89,39,50,3,0
14,eval-14-8,16,91,39,52,1,0
14,eval-14-9,15,65,32,33,3,0
14,eval-14-10,17,71,37,34,0,0
14,eval-14-11,16,73,28,45,0,0
14,eval-14-12,19,82,36,46,1,0
14,eval-14-13,13,53,28,25,4,0
14,eval-14-14,18,80,39,41,0,0
15,eval-15-1,21,208,59,149,0,0
15,eval-15-2,20,157,72,85,3,0
15,eval-15-3,21,212,56,156,0,0
15,eval-15-4,20,155,54,101,1,0
15,eval-15-5,22,139,48,91,2,0
15,eval-15-6,19,108,38,70,0,0
15,eval-15-7,15,85,35,50,0,0
15,eval-15-8,10,41,23,18,0,0
15,eval-15-9,16,67,38,29,4,0
15,eval-15-10,15,66,30,36,2,0
15,eval-15-11,17,74,33,41,2,0
15,eval-15-12,15,66,26,40,4,0
15,eval-15-13,14,60,29,31,0,0
15,eval-15-14,11,42,19,23,2,0
15,eval-15-15,15,73,30,43,0,0
16,eval-16-1,19,131,62,69,2,0
16,eval-16-2,22,207,57,150,4,0
16,eval-16-3,20,200,60,140,1,0
16,eval-16-4,16,139,46,93,1,0
16,eval-16-5,20,158,49,109,0,0
16,eval-16-6,17,94,39,55,0,0
16,eval-16-7,19,104,41,63,0,0
16,eval-16-8,16,70,30,40,1,0
16,eval-16-9,15,72,29,43,2,0
16,eval-16-10,14,65,36,29,0,0
16,eval-16-11,15,66,29,37,0,0
16,eval-16-12,15,61,30,31,2,0
16,eval-16-13,13,56,31,25,3,0
16,eval-16-14,15,68,28,40,3,0
16,eval-16-15,16,72,31,41,1,0
16,eval-16-16,13,54,23,31,0,0
17,eval-17-1,21,138,73,65,1,0
17,eval-17-2,22,209,61,148,0,0
17,eval-17-3,20,175,58,117,0,0
17,eval-17-4,19,152,47,105,3,0
17,eval-17-5,20,135,52,83,1,0
17,eval-17-6,14,100,34,66,0,0
17,eval-17-7,17,102,37,65,3,0
17,eval-17-8,17,93,38,55,1,0
17,eval-17-9,11,46,25,21,3,0
17,eval-17-10,15,68,30,38,2,0
17,eval-17-11,16,66,33,33,0,0
17,eval-17-12,15,67,27,40,0,0
17,eval-17-13,15,66,22,44,1,0
17,eval-17-14,17,78,30,48,1,0
17,eval-17-15,13,59,26,33,2,0
17,eval-17-16,10,44,19,25,0,0
17,eval-17-17,13,61,23,38,2,0
18,eval-18-1,19,149,75,74,2,0
18,eval-18-2,17,183,53,130,0,0
18,eval-18-3,21,208,56,152,2,0
18,eval-18-4,19,150,49,101,0,0
18,eval-18-5,15,108,40,68,2,0
18,eval-18-6,15,90,33,57,3,0
18,eval-18-7,17,95,40,55,2,0
18,eval-18-8,17,73,37,36,2,0
18,eval-18-9,15,69,29,40,1,0
18,eval-18-10,16,75,27,48,0,0
18,eval-18-11,11,43,24,19,0,0
18,eval-18-12,11,45,17,28,0,0
18,eval-18-13,15,68,31,37,0,0
18,eval-18-14,16,69,30,39,2,0
18,eval-18-15,13,60,23,37,3,0
18,eval-18-16,17,82,31,51,0,0
18,eval-18-17,11,49,19,30,1,0
18,eval-18-18,10,44,21,23,0,0
19,eval-19-1,17,184,71,113,0,0
19,eval-19-2,20,195,57,138,2,0
19,eval-19-3,17,186,48,138,0,0
19,eval-19-4,16,119,40,79,2,0
19,eval-19-5,20,114,47,67,1,0
19,eval-19-6,15,112,46,66,0,0
19,eval-19-7,14,61,30,31,3,0
19,eval-19-8,14,86,29,57,1,0
19,eval-19-9,8,32,15,17,1,0
19,eval-19-10,14,61,26,35,0,0
19,eval-19-11,16,70,31,39,2,0
19,eval-19-12,15,61,28,33,0,0
19,eval-19-13,13,56,21,35,1,0
19,eval-19-14,16,69,29,40,1,0
19,eval-19-15,13,54,24,30,2,0
19,eval-19-16,9,40,19,21,0,0
19,eval-19-17,12,56,23,33,0,0
19,eval-19-18,14,69,24,45,3,0
19,eval-19-19,10,46,20,26,1,0
20,eval-20-1,15,129,61,68,1,0
20,eval-20-2,16,162,44,118,4,0
20,eval-20-3,22,185,59,126,0,0
20,eval-20-4,21,187,49,138,0,0
20,eval-20-5,16,94,37,57,1,0
20,eval-20-6,17,119,47,72,2,0
20,eval-20-7,18,130,43,87,0,0
20,eval-20-8,19,84,35,49,0,0
20,eval-20-9,12,46,30,16,0,0
20,eval-20-10,12,53,18,35,1,0
20,eval-20-11,15,63,33,30,1,0
20,eval-20-12,13,59,24,35,1,0
20,eval-20-13,10,44,23,21,0,0
20,eval-20-14,15,72,30,42,1,0
20,eval-20-15,12,47,27,20,0,0
20,eval-20-16,16,69,30,39,0,0
20,eval-20-17,11,46,24,22,0,0
20,eval-20-18,13,52,26,26,4,0
20,eval-20-19,10,43,20,23,1,0
20,eval-20-20,10,48,19,29,3,0
